K;FD;DET;;
351 D2;351 D2;1205;;
351 D3;351 D3;1198;;
351 D4;351 D4;1202;;
351 D5;351 D5;1201;;
351 D6;351 D6;1197;;
351 D7;351 D7;1204;;
351 VD1.1;351 D8;1199;;
351 VD1.2;351 D9;1203;;
352 VD1.1;351 D1;470;;
352 VD1.2;3521 D2;47;;
352 VD1.3;352 D3;469;;
352 VD2.1;352 D4;468;;
352 VD3.1;352 D5;467;;
352 VD3.2;352 D6;466;;
352 VD3.3;352 D7;465;;
352 VD4.1;352 D8;464;;
352 VD4.2;352 D9;463;;
353 VD1.1;353 D1;460;;
353 VD1.2;353 D2;46;;
353 VD2.1;353 D3;459;;
353 VD3.1;353 D4;458;;
353 VD3.2;353 D5;457;;
353 VD3.3;353 D6;456;;
353 VD4.1;353 D7;455;;
353 VD4.2;353 D8;454;;
353 VD5.1 (2K);353 D9;453;;
353 VD5.2;353 D10;452;;
353 VD6.1;353 D11;451;;
353 VD6.2;353 D12;450;;
354 VD1.1;354 D1;45;;
354 VD1.2;354 D2;721;;
354 VD2.1 (554 VD2.1);554 D3;356;;
354 VD2.2;354 D4;447;;
355 VD1.1;355 D1;1958;;
355 VD1.2;355 D2;1960;;
355 VD2.1;355 D3;1962;;
355 VD2.2;355 D4;1961;;
356 VD1.1;356 D1;1256;;
356 VD1.2;356 D2;1257;;
356 VD2.1;356 D3;1258;;
356 VD2.2;356 D4;1259;;
